186,1,104,27,24960,[ARCTIC] BioniX F140,ARCTIC,140mm,28T,FDB,4핀,200rpm,1800rpm,,10년,,,검정,검정,
,2,61.2,19.8,19800,[be quiet] PURE WINGS 2 140mm PWM,be quiet,140mm,25T,Rifle,4핀,,1000rpm,,3년,,,검정,검정,
,3,77.57,28.1,44500,[be quiet] SILENT WINGS 3 140mm PWM HIGH-SPEED,be quiet,140mm,25T,FDB,4핀,,1600rpm,,3년,,,검정,검정,
,4,77.57,28.1,43500,[be quiet] SILENT WINGS 3 140mm HIGH-SPEED,be quiet,140mm,25T,FDB,3핀,,1600rpm,,3년,,,검정,검정,
,5,59.5,15.5,44500,[be quiet] SILENT WINGS 3 140mm PWM,be quiet,140mm,25T,FDB,4핀,,1000rpm,,3년,,,검정,검정,
,6,59.5,15.5,43500,[be quiet] SILENT WINGS 3 140mm,be quiet,140mm,25T,FDB,3핀,,1000rpm,,3년,,,검정,검정,
,7,55.4,20.4,126400,[CORSAIR] ML140 PRO RGB (2PACK/Controller),CORSAIR,140mm,25T,Magnetic,4핀,400rpm,1200rpm,,5년,RGB (Cont),팬,흰색,검정,
,8,55.4,20.4,53880,[CORSAIR] ML140 PRO RGB (1PACK),CORSAIR,140mm,25T,Magnetic,4핀,400rpm,1200rpm,,5년,RGB (Cont),팬,흰색,검정,
,9,74,28.6,102270,[CORSAIR] HD140 (2PACK/Controller),CORSAIR,140mm,25T,유체,4핀,600rpm,1350rpm,18dBA,2년,RGB (Cont),팬,흰색,검정,
,10,74,28.6,44420,[CORSAIR] HD140 (1PACK),CORSAIR,140mm,25T,유체,4핀,600rpm,1350rpm,18dBA,2년,RGB (Cont),팬,흰색,검정,
,11,97,37,54730,[CORSAIR] ML140 PRO LED White,CORSAIR,140mm,25T,Magnetic,4핀,400rpm,2000rpm,16dBA,5년,흰색,팬,투명,검정,
,12,97,37,54730,[CORSAIR] ML140 PRO LED Red,CORSAIR,140mm,25T,Magnetic,4핀,400rpm,2000rpm,16dBA,5년,빨강,팬,투명,검정,
,13,49.49,29.3,18020,[CORSAIR] SP140 LED 퍼플,CORSAIR,140mm,25T,슬리브,3핀,,1440rpm,,,보라,팬,투명,검정,
,14,73.18,18,17470,[COUGAR] DUAL-X 140mm LED 화이트,COUGAR,140mm,25T,Hydraulic,3핀,,1000rpm,,,흰색,팬,흰색,검정,
,15,73.18,18,17300,[COUGAR] DUAL-X 140mm LED 블루,COUGAR,140mm,25T,Hydraulic,3핀,,1000rpm,,,파랑,팬,파랑,검정,
,16,73.18,18,17470,[COUGAR] DUAL-X 140mm LED 레드,COUGAR,140mm,25T,Hydraulic,3핀,,1000rpm,,,빨강,팬,빨강,검정,
,17,73.18,18,17300,[COUGAR] DUAL-X 140mm LED 그린,COUGAR,140mm,25T,Hydraulic,3핀,,1000rpm,,,녹색,팬,녹색,검정,
,18,128,38,19580,[CRYORIG] QF140 PERFORMANCE,CRYORIG,140mm,25T,HPLN,4핀,600rpm,1850rpm,13dBA,3년,,,흰색,검정,
,19,42.1,19.5,19580,[CRYORIG] QF140 SILENT,CRYORIG,140mm,25T,HPLN,4핀,200rpm,1000rpm,9dBA,3년,,,흰색,검정,
,20,65,30,19300,[CRYORIG] XT140,CRYORIG,140mm,13T,HPLN,4핀,700rpm,1300rpm,28dBA,3년,,,검정,검정,
,21,76,23,22440,[CRYORIG] XF140,CRYORIG,140mm,25.4T,HPLN,4핀,700rpm,1300rpm,19dBA,3년,,,검정,검정,
,22,64.13,24,49000,[DEEPCOOL] RF140 RGB 아우라 싱크 PWM BRAVOTEC (2PACK),DEEPCOOL,140mm,26T,Hydro,4핀,500rpm,1200rpm,19.8dBA,1년,RGB (MB),팬,투명,검정,
,23,64.13,24,24000,[DEEPCOOL] RF140 RGB 아우라 싱크 PWM BRAVOTEC (1PACK),DEEPCOOL,140mm,26T,Hydro,4핀,500rpm,1200rpm,19.8dBA,1년,RGB (MB),팬,투명,검정,
,24,68.4,18.9,19480,[Fractal Design] Dynamic X2 GP-14B,Fractal Design,140mm,25T,LLS,3핀,,1000rpm,,2년,,,검정,검정,
,25,68.4,18.9,19470,[Fractal Design] Dynamic X2 GP-14W,Fractal Design,140mm,25T,LLS,3핀,,1000rpm,,2년,,,흰색,검정,
,26,78.1,30.1,26800,[Fractal Design] Venturi Series HP-14 PWM,Fractal Design,140mm,25T,FDB,4핀,,1500rpm,,2년,,,검정,검정,
,27,118.2,26.5,24740,[Fractal Design] Venturi Series HP-14,Fractal Design,140mm,25T,FDB,3핀,,1200rpm,,2년,,,검정,검정,
,28,76.8,32.6,8590,[ID-COOLING] WF-14025,ID-COOLING,140mm,25T,,4핀,800rpm,1600rpm,16.8dBA,,,,흰색,검정,
,29,65.5,24.2,16300,[ID-COOLING] CF-14025 WHITE LED PWM 3RSYS,ID-COOLING,140mm,25T,Hydraulic,4핀,200rpm,1300rpm,12.1dBA,0.5년,흰색,링,검정,검정,
,30,65.5,24.2,16330,[ID-COOLING] CF-14025 RED LED PWM 3RSYS,ID-COOLING,140mm,25T,Hydraulic,4핀,200rpm,1300rpm,12.1dBA,0.5년,빨강,링,검정,검정,
