652,1,빅타워,250mm,554mm,564mm,158600,[3RSYS] T900 화이트,3RSYS,강화유리,흰색,
,2,미들타워,197mm,456mm,432mm,52680,[3RSYS] J410 RGB 블랙 강화유리,3RSYS,강화유리,,
,3,미들타워,206mm,455mm,442mm,51650,[3RSYS] J610 화이트 강화유리,3RSYS,강화유리,흰색,
,4,미들타워,206mm,455mm,435mm,49590,[3RSYS] J600 블랙 강화유리,3RSYS,강화유리,,
,5,미들타워,223mm,529mm,474mm,75410,[3RSYS] L800 블랙 강화유리,3RSYS,강화유리,,
,6,미들타워,194mm,446mm,437mm,65000,[3RSYS] J500 BLACK,3RSYS,,,
,7,빅타워,250mm,554mm,564mm,210000,[3RSYS] T1000 화이트,3RSYS,강화유리,흰색,
,8,빅타워,250mm,554mm,564mm,146700,[3RSYS] T900,3RSYS,강화유리,,
,9,미들타워,194mm,455mm,437mm,37500,[3RSYS] L200 블랙 강화유리,3RSYS,강화유리,,
,10,미들타워,194mm,466mm,437mm,41800,[3RSYS] J400 블랙 강화유리,3RSYS,강화유리,,
,11,미니타워,181mm,403mm,386mm,25800,[3RSYS] R360 풀 아크릴 윈도우 화이트,3RSYS,아크릴,흰색,흰색
,12,미니타워,181mm,403mm,386mm,23800,[3RSYS] R360 풀 아크릴 윈도우 블랙,3RSYS,아크릴,,
,13,미니타워,183mm,390mm,393mm,18700,[3RSYS] R350,3RSYS,,,
,14,미들타워,230mm,475mm,471mm,93200,[3RSYS] L1100,3RSYS,,,
,15,미들타워,193mm,423mm,384mm,28400,[3RSYS] J10,3RSYS,아크릴,,
,16,빅타워,250mm,554mm,564mm,199200,[3RSYS] T1000,3RSYS,강화유리,,
,17,미들타워,460mm,400mm,460mm,360000,[3RSYS] AD 500,3RSYS,강화유리,,
,18,미들타워,177mm,414mm,325mm,23860,[3RSYS] REMOTE PC,3RSYS,,,
,19,미들타워,200mm,500mm,475mm,67800,[3RSYS] L530 화이트 강화유리,3RSYS,강화유리,흰색,흰색
,20,미들타워,200mm,500mm,475mm,62700,[3RSYS] L530 강화유리,3RSYS,강화유리,,
,21,미들타워,195mm,405mm,355mm,14560,[3RSYS] R3 USB3.0,3RSYS,,,
,22,미들타워,240mm,455mm,475mm,95000,[3RSYS] L1000 화이트 강화유리,3RSYS,강화유리,흰색,흰색
,23,미들타워,200mm,500mm,475mm,48200,[3RSYS] L520,3RSYS,아크릴,,
,24,미니타워,230mm,455mm,454mm,56000,[3RSYS] L400,3RSYS,아크릴,,
,25,미들타워,240mm,455mm,475mm,89000,[3RSYS] L1000 강화유리,3RSYS,강화유리,,
,26,미들타워,195mm,455mm,435mm,30200,[3RSYS] J210 해머 풀 강화아크릴 윈도우,3RSYS,아크릴,,
,27,미들타워,195mm,455mm,435mm,26900,[3RSYS] J210 해머,3RSYS,아크릴,,
,28,미들타워,195mm,405mm,355mm,12400,[3RSYS] R2,3RSYS,,,
,29,미들타워,230mm,490mm,465mm,82300,[3RSYS] L910 화이트 풀 윈도우 튜닝LED바,3RSYS,아크릴,흰색,흰색
,30,미들타워,230mm,490mm,465mm,79500,[3RSYS] L910 풀 윈도우 튜닝LED바,3RSYS,아크릴,,
