337,1,[NVIDIA] 지포스 GTX Titan Xp D5X 12GB,\1650000,NVIDIA,GTX Titan Xp,1405 MHz,1582 MHz,1,11400 MHz,267mm,1,1,250W,600W,0,1,3,14728
,2,[ASUS] ROG POSEIDON 지포스 GTX1080 Ti P11G D5X 11GB,\1652820,ASUS,GTX 1080 Ti,1594 MHz,1708 MHz,2,11010 MHz,298mm,2,0,250W,600W,1,2,2,14064
,3,[ASUS] ROG STRIX 지포스 GTX1080 Ti GAMING D5X 11GB,\1151300,ASUS,GTX 1080 Ti,1518 MHz,1632 MHz,3,10010 MHz,298mm,2,0,250W,600W,1,2,2,14064
,4,[ASUS] ROG STRIX 지포스 GTX1080 Ti O11G GAMING D5X 11GB,\1169200,ASUS,GTX 1080 Ti,1594 MHz,1708 MHz,3,11100 MHz,298mm,2,0,250W,600W,1,2,2,14064
,5,[Colorful] iGame 지포스 GTX1080 Ti VULCAN AD D5X 11GB,\980000,Colorful,GTX 1080 Ti,1569 MHz,1683 MHz,3,11000 MHz,315mm,2,0,250W,600W,1,1,3,14064
,6,[EVGA] 지포스 GTX1080 Ti FTW3 GAMING D5X 11GB,\1169000,EVGA,GTX 1080 Ti,1569 MHz,1683 MHz,3,11000 MHz,299.72mm,2,0,280W,600W,0,1,3,14064
,7,[EVGA] 지포스 GTX1080 Ti SC Black Edition GAMING D5X 11GB,\1139000,EVGA,GTX 1080 Ti,1556 MHz,1670 MHz,2,11016 MHz,269.2mm,1,1,250W,600W,1,1,3,14064
,8,[GAINWARD] 지포스 GTX1080 Ti 피닉스 D5X 11GB,\1019000,GAINWARD,GTX 1080 Ti,1480 MHz,1582 MHz,2,11000 MHz,285mm,2,0,250W,600W,1,1,3,14064
,9,[GAINWARD] 지포스 GTX1080 Ti 피닉스 GS D5X 11GB,\997000,GAINWAD,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,0,0,250W,600W,0,0,0,14064
,10,[GIGABYTE] 지포스 GTX1080 Ti AORUS D5X 11GB,\1175200,GIGABYTE,GTX 1080 Ti,1569 MHz,1683 MHz,3,11010 MHz,293mm,2,0,250W,600W,1,3,3,14064
,11,[GIGABYTE] 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB,\1232500,GIGABYTE,GTX 1080 Ti,1607 MHz,1721 MHz,3,11232 MHz,293mm,2,0,250W,600W,1,3,3,14064
,12,[GIGABYTE] 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB 워터블럭,\1201000,GIGABYTE,GTX 1080 Ti,1607 MHz,1721 MHz,3,11232 MHz,267mm,2,0,250W,600W,1,3,3,14064
,13,[GIGABYTE] 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB 워터포스,\1479000,GIGABYTE,GTX 1080 Ti,1607 MHz,1721 MHz,1,11232 MHz,267mm,2,0,250W,600W,1,3,3,14064
,14,[GIGABYTE] 지포스 GTX1080 Ti Gaming D5X 11GB,\1115400,GIGABYTE,GTX 1080 Ti,1518 MHz,1632 MHz,3,11010 MHz,280mm,1,1,250W,600W,1,1,3,14064
,15,[inno3D] iChiLL 지포스 GTX1080 Ti D5X 11GB X3,\975400,inno3D,GTX 1080 Ti,1569 MHz,1683 MHz,3,11400 MHz,302.2mm,1,1,280W,600W,1,1,3,14064
,16,[inno3D] iChiLL 지포스 GTX1080 Ti D5X 11GB X4,\982300,inno3D,GTX 1080 Ti,1569 MHz,1683 MHz,4,11400 MHz,302.2mm,1,1,280W,600W,1,1,3,14064
,17,[inno3D] 지포스 GTX1080 Ti D5X 11GB X2 트윈쿨러,\948900,inno3D,GTX 1080 Ti,1480 MHz,1582 MHz,2,11000 MHz,266mm,1,1,250W,600W,1,1,3,14064
,18,[MANLI] 지포스 GTX1080 Ti Black Scale D5X 11GB,\940000,MANLI,GTX 1080 Ti,1480 MHz,1582 MHz,1,11000 MHz,282mm,1,1,250W,600W,0,1,3,14064
,19,[MANLI] 지포스 GTX1080 Ti Gallardo D5X 11GB,\938890,MANLI,GTX 1080 Ti,1594 MHz,1657 MHz,3,11000 MHz,314mm,0,0,250W,600W,0,0,0,14064
,20,[MSI] 지포스 GTX1080 Ti 게이밍 X D5X 11GB 트윈프로져6,\1202800,MSI,GTX 1080 Ti,1569 MHz,1683 MHz,2,11124 MHz,290mm,2,0,250W,600W,1,2,2,14064
,21,[MSI] 지포스 GTX1080 Ti 아머 OC D5X 11GB,\1098300,MSI,GTX 1080 Ti,1531 MHz,1645 MHz,2,11016 MHz,290mm,2,0,250W,600W,1,2,2,14064
,22,[PALIT] 지포스 GTX1080 Ti GameRock D5X 11GB,\1378990,PALIT,GTX 1080 Ti,1518 MHz,1632 MHz,2,11000 MHz,285mm,2,0,300W,600W,1,1,3,14064
,23,[PALIT] 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB,\1023800,PALIT,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,2,0,300W,600W,1,1,3,14064
,24,[ZOTAC] AMP EXTREME CORE 지포스 GTX1080 Ti D5X 11GB,\1107000,ZOTAC,GTX 1080 Ti,1607 MHz,1721 MHz,3,11200 MHz,325mm,2,0,320W,600W,1,1,3,14064
,25,[ZOTAC] AMP 지포스 GTX1080 Ti D5X 11GB,\930000,ZOTAC,GTX 1080 Ti,1569 MHz,1683 MHz,2,11010 MHz,300mm,2,0,270W,500W,1,1,3,14064
,26,[ZOTAC] 지포스 GTX1080 Ti D5X 11GB BLOWER,\1113600,ZOTAC,GTX 1080 Ti,1480 MHz,1582 MHz,1,11000 MHz,296mm,1,1,250W,600W,0,1,3,14064
,27,[갤럭시] GALAX 지포스 GTX1080 Ti EXOC D5X 11GB G天命,\1101000,갤럭시,GTX 1080 Ti,1531 MHz,1645 MHz,2,11010 MHz,281mm,2,0,250W,600W,0,1,3,14064
,28,[갤럭시] GALAX 지포스 GTX1080 Ti EXOC White D5X 11GB G天命,\1104800,갤럭시,GTX 1080 Ti,1531 MHz,1645 MHz,2,11010 MHz,281mm,1,1,250W,600W,0,1,3,14064
,29,[이엠텍] XENON 지포스 GTX1080 Ti JETSTREAM D5X 11GB,\1064000,이엠텍,GTX 1080 Ti,1480 MHz,1582 MHz,2,11000 MHz,285mm,2,0,300W,600W,1,1,3,14064
,30,[이엠텍] XENON 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB,\1072700,이엠텍,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,2,0,250W,600W,1,1,3,14064
,31,[ASUS] ROG STRIX 지포스 GTX1080 A8G GAMING D5X 8GB,\839000,ASUS,GTX 1080,1670 MHz,1809 MHz,3,10000 MHz,298mm,1,1,180W,500W,1,2,2,12311
