,,,제품,단가,제조사,모델명,용량,버퍼용량,회전수,용량/플래터,"인터
페이스",기타
2,EXISTS,,추가하지 않음,,,,,,,,,
3,EXISTS,, ,,,,,,,,,
4,,,-- Toshiba --,,,,,,,,,
5,,, ,,,,,,,,,
6,Toshiba,,[Toshiba] 1TB,\43700,Toshiba,DT01ACA100,1TB,32M,7200,1TB,SATA3,
7,Toshiba,,[Toshiba] 2TB,\62400,Toshiba,DT01ACA200,2TB,64M,7200,1TB,SATA3,
8,Toshiba,,[Toshiba] 2TB 서버,\113000,Toshiba,MC04ACA200,2TB,128M,7200,600GB,SATA3,
9,Toshiba,,[Toshiba] 3TB,\88900,Toshiba,DT01ACA300,3TB,64M,7200,1TB,SATA3,
10,Toshiba,,[Toshiba] 3TB 서버,\148700,Toshiba,MC04ACA300,3TB,128M,7200,1TB,SATA3,
11,Toshiba,,[Toshiba] 4TB ,\138300,Toshiba,MD04ACA400,4TB,128M,7200,,SATA3,
12,Toshiba,,[Toshiba] 4TB 서버,\159000,Toshiba,MC04ACA400,4TB,128M,7200,1TB,SATA3,
13,Toshiba,,[Toshiba] 4TB Enterprise,\210000,Toshiba,MG04ACA400,4TB,128M,7200,1TB,SATA3,
14,Toshiba,,[Toshiba] 5TB ,\191530,Toshiba,MD04ACA500,5TB,128M,7200,,SATA3,
15,Toshiba,,[Toshiba] 5TB 서버,\249390,Toshiba,MC04ACA500,5TB,128M,7200,1TB,SATA3,
16,Toshiba,,[Toshiba] 5TB Enterprise,\312000,Toshiba,MG04ACA500,5TB,128M,7200,1TB,SATA3,
17,Toshiba,,[Toshiba] 6TB ,\238190,Toshiba,MD04ACA600,6TB,128M,7200,,SATA3,
18,Toshiba,,[Toshiba] 6TB 서버,\245000,Toshiba,MC04ACA600,6TB,128M,7200,1.2TB,SATA3,
19,Toshiba,,[Toshiba] 6TB Enterprise,\303000,Toshiba,MG04ACA600,6TB,128M,7200,1.2TB,SATA3,
20,,, ,,,,,,,,,
21,,,-- WD --,,,,,,,,,
22,,, ,,,,,,,,,
23,WD,,"[WD] 1TB BLUE (구,EZEX)",\41800,WD,WD10EZEX,1TB,64M,7200,1TB,SATA3,
24,WD,,[WD] 2TB BLUE,\60400,WD,WD20EZRZ,2TB,64M,5400,1TB,SATA3,
25,WD,,[WD] 3TB BLUE,\88600,WD,WD30EZRZ,3TB,64M,5400,1TB,SATA3,
26,WD,,[WD] 4TB BLUE,\115200,WD,WD40EZRZ,4TB,64M,5400,1TB,SATA3,
27,WD,,[WD] 6TB BLUE,\216100,WD,WD60EZRZ,6TB,64M,5400,1.2TB,SATA3,
28,WD,, ,,WD,,,,,,,
29,WD,,[WD] 1TB BLACK,\84000,WD,WD1003FZEX,1TB,64M,7200,1TB,SATA3,
30,WD,,[WD] 2TB BLACK,\162000,WD,WD2003FZEX,2TB,64M,7200,800GB,SATA3,
31,WD,,[WD] 3TB BLACK,\378100,WD,WD3003FZEX,3TB,64M,7200,800GB,SATA3,
32,WD,,[WD] 4TB BLACK,\251770,WD,WD4005FZBX,4TB,256M,7200,,SATA3,
33,WD,,[WD] 6TB BLACK,\355000,WD,WD6003FZBX,6TB,256M,7200,,SATA3,
34,WD,, ,,WD,,,,,,,
35,WD,,[WD] 1TB RED,\77600,WD,WD10EFRX,1TB,64M,5400,,SATA3,
36,WD,,[WD] 2TB RED,\111200,WD,WD20EFRX,2TB,64M,5400,1TB,SATA3,
37,WD,,[WD] 3TB RED,\138300,WD,WD30EFRX,3TB,64M,5400,1TB,SATA3,
38,WD,,[WD] 4TB RED,\164400,WD,WD40EFRX,4TB,64M,5400,1TB,SATA3,
39,WD,,[WD] 5TB RED,\408500,WD,WD50EFRX,5TB,64M,5400,1TB,SATA3,
40,WD,,[WD] 6TB RED,\270500,WD,WD60EFRX,6TB,64M,5400,1.2TB,SATA3,
41,,, ,,,,,,,,,
42,,,-- Seagate --,,,,,,,,,
43,,, ,,,,,,,,,
44,Seagate,,[Seagate] 1TB Constellation ES.3,\131000,Seagate,ST1000NM0033,1TB,128M,7200,800GB,SATA3,
45,Seagate,,[Seagate] 2TB Constellation ES.3,\225000,Seagate,ST2000NM0033,2TB,128M,7200,800GB,SATA3,
46,Seagate,,[Seagate] 3TB Constellation ES.3,\271000,Seagate,ST3000NM0033,3TB,128M,7200,800GB,SATA3,
47,Seagate,,[Seagate] 4TB Constellation ES.3,\259960,Seagate,ST4000NM0033,4TB,128M,7200,800GB,SATA3,
48,Seagate,, ,,Seagate,,,,,,,
49,Seagate,,[Seagate] 1TB SV35 +Rescue,\103370,Seagate,ST1000VX002,1TB,64M,7200,1TB,SATA3,"데이터 복구 
서비스"
50,Seagate,,[Seagate] 2TB SV35 +Rescue,\145050,Seagate,ST2000VX004,2TB,64M,7200,1TB,SATA3,"데이터 복구 
서비스"
