,,,제품,가격,회사,파워 규격,정격 용량,액티브 PFC,레일,+12V 전류,4핀 IDE,SATA,PCI-E (6),PCI-E(6+2),Reform 케이블,모듈러,대기전력 1W,플랫 케이블,프리볼트,80 PLUS,깊이,무상 A/S (/유상)
2,0,,추가하지 않음,,,,,,,,,,,,,,,,,,,
3,0,, ,,,,,,,,,,,,,,,,,,,
4,,,-- Antec --,,,,,,,,,,,,,,,,,,,
5,,, ,,,,,,,,,,,,,,,,,,,
6,700,,[Antec] EAG PRO 750W 80PLUS GOLD 모듈러,\99000,Antec,ATX,750W,O,싱글,62,3,8,,4,,O,O,,O,골드,140,3/2
7,600,,[Antec] HCG 650W 80PLUS GOLD 풀 모듈러,\111990,Antec,ATX,650W,,싱글,54,3,8,,4,,풀,O,,O,골드,140,10
8,800,,[Antec] HCG 850W 80PLUS GOLD 풀 모듈러,\145000,Antec,ATX,850W,,싱글,70,5,10,,6,,풀,O,,O,골드,140,10
9,1000,,[Antec] HCP-1000 Platinum,\366800,Antec,ATX,1000W,,다중,40/40/40/40,6,9,,6,O,풀,,,O,플래티넘,190,7
10,1000,,[Antec] HCP-1300 PLATINUM,\449000,Antec,ATX,1300W,O,다중,50/50/50/50,6,9,,10,,풀,,,O,플래티넘,190,7
11,500,,[Antec] NeoECO NE550C 80PLUS BRONZE,\52300,Antec,ATX,550W,O,싱글,42,3,8,,2,O,,O,,O,브론즈,140,3/2
12,600,,[Antec] NeoECO NE650C 80PLUS BRONZE,\67890,Antec,ATX,650W,O,싱글,50,3,8,,4,O,,O,,O,브론즈,140,3/2
13,600,,[Antec] TP-650C 80PLUS GOLD,\145000,Antec,ATX,650W,O,다중,30/30,5,6,,4,O,,O,,O,골드,140,5
14,700,,[Antec] TP-750C 80PLUS GOLD,\189050,Antec,ATX,750W,O,다중,35/35,6,9,,6,O,,O,,O,골드,140,5
15,500,,[Antec] VP500P V2 A-PFC 88퍼센트,\49300,Antec,ATX,500W,O,다중,25/25,2,8,,2,O,,O,,,,140,3/2
16,600,,[Antec] VP600P,\66900,Antec,ATX,600W,O,다중,30/30,2,8,,4,,,O,,,,140,3/2
17,,, ,,,,,,,,,,,,,,,,,,,
18,,,-- CORSAIR --,,,,,,,,,,,,,,,,,,,
19,,, ,,,,,,,,,,,,,,,,,,,
20,1000,,[CORSAIR] AX1600i 80PLUS TITANIUM,\670000,CORSAIR,ATX,1600W,O,싱글,133.3,9,16,,10,,O,,,O,티타늄,200,10
21,500,,[CORSAIR] CS550M 80PLUS GOLD 모듈러,\131990,CORSAIR,ATX,550W,O,싱글,43,4,5,,2,,세미,,O,,골드,140,3
22,600,,[CORSAIR] CS650M 80PLUS GOLD 모듈러,\167800,CORSAIR,ATX,650W,O,싱글,51,4,6,,4,,세미,,O,,골드,140,3
23,700,,[CORSAIR] CS750M 80PLUS GOLD 모듈러,\189000,CORSAIR,ATX,750W,O,싱글,62,7,8,,4,,세미,,O,,골드,140,3
24,800,,[CORSAIR] CS850M 80PLUS GOLD 모듈러,\239640,CORSAIR,ATX,850W,O,싱글,70.8,8,8,,4,O,세미,O,O,O,골드,160,3
25,500,,[CORSAIR] CX500 80PLUS BRONZE,\61260,CORSAIR,ATX,500W,O,싱글,38,4,5,,2,O,,O,,,브론즈,140,3
26,600,,[CORSAIR] CX600 80PLUS BRONZE,\77990,CORSAIR,ATX,600W,O,다중,46,4,6,,2,O,,O,,,브론즈,140,3
27,600,,[CORSAIR] CX650 80PLUS BRONZE,\76600,CORSAIR,ATX,650W,O,싱글,54,4,6,,2,O,,,,O,브론즈,140,5
28,700,,[CORSAIR] CX750 NEW 80PLUS BRONZE,\94750,CORSAIR,ATX,750W,O,싱글,62.5,8,8,,4,O,,,,O,브론즈,160,5
29,700,,[CORSAIR] CX750M 80PLUS BRONZE 모듈러,\161500,CORSAIR,ATX,750W,O,싱글,62,6,8,,4,O,세미,,,,브론즈,160,3
30,1000,,[CORSAIR] HX1000 80PLUS PLATINUM,\316900,CORSAIR,ATX,1000W,O,싱글,83.3,8,16,,8,O,풀,,O,O,플래티넘,180,10
31,1000,,[CORSAIR] HX1000i 80PLUS PLATINUM,\346820,CORSAIR,ATX,1000W,O,싱글,83.3,12,12,,6,,풀,,,O,플래티넘,180,7
32,1000,,[CORSAIR] HX1200 80PLUS PLATINUM,\356000,CORSAIR,ATX,1200W,O,싱글,100,8,20,,8,O,풀,,O,O,플래티넘,200,10
33,1000,,[CORSAIR] HX1200i 80PLUS PLATINUM,\397090,CORSAIR,ATX,1200W,O,싱글,100,12,16,,8,,풀,,O,O,플래티넘,200,7
34,700,,[CORSAIR] HX750 80PLUS PLATINUM,\251000,CORSAIR,ATX,750W,O,싱글,62.5,4,16,,4,O,풀,,O,O,플래티넘,180,10
35,700,,[CORSAIR] HX750i 80PLUS PLATINUM,\270210,CORSAIR,ATX,750W,O,싱글,62.5/62.5,8,12,,6,,풀,,,O,플래티넘,180,7
36,800,,[CORSAIR] HX850 80PLUS PLATINUM,\271000,CORSAIR,ATX,850W,O,싱글,70.8,6,16,,6,O,풀,,O,O,플래티넘,180,10
37,800,,[CORSAIR] HX850i 80PLUS PLATINUM,\301000,CORSAIR,ATX,850W,O,싱글,70.8,12,12,,6,,,,,,플래티넘,180,7
38,1000,,[CORSAIR] PROFESSIONAL SERIES AX1200i PLATINUM,\496000,CORSAIR,ATX,1200W,O,싱글,100.4,12,16,,6,,,,,,플래티넘,200,
39,1000,,[CORSAIR] RM1000i 80PLUS GOLD,\298480,CORSAIR,ATX,1000W,O,싱글,83.3,11,12,,8,,풀,,O,O,골드,180,7
40,1000,,[CORSAIR] RM1000x 80PLUS GOLD,\258960,CORSAIR,ATX,1000W,O,싱글,83.3,12,11,,8,,풀,,O,O,골드,180,7
41,600,,[CORSAIR] RM650x 80PLUS GOLD,\164000,CORSAIR,ATX,650W,O,싱글,54,4,8,,4,,풀,,O,O,골드,160,7
42,700,,[CORSAIR] RM750i 80PLUS GOLD,\210490,CORSAIR,ATX,750W,O,싱글,62.5,7,8,,4,,풀,,O,O,골드,180,7
43,700,,[CORSAIR] RM750x NEW 80PLUS GOLD,\181870,CORSAIR,ATX,750W,O,싱글,62.5,8,9,,4,,O,,,O,골드,160,10
