,,,RAM 품목,가격,회사,클럭 ,램 규격,개수,용량,타이밍,전압,XMP,색깔,LED
2,EXISTS,,추가하지 않음,,, ,,,,,,,,
3,EXISTS,, ,,, ,,,,,,,,
4,,,-- 삼성 --,,, ,,,,,,,,
5,,, ,,, ,,,,,,,,
6,삼성,,[삼성] DDR3 8G PC3-12800,\88900,삼성,1600 Mhz,DDR3,1개,8GB,,,,녹색,
7,삼성,,[삼성] DDR3 4G PC3-12800,\39420,삼성,1600 Mhz,DDR3,1개,4GB,11-11-11-30,1.5V,,녹색,
8,삼성,,[삼성] DDR3 4G PC3-8500,\55000,삼성,1066 Mhz,DDR3,1개,4GB,7-7-7-21,1.5V,,녹색,
9,삼성,,[삼성] DDR3 2G PC3-12800,\19790,삼성,1600 Mhz,DDR3,1개,2GB,,1.5V,,녹색,
10,삼성,,[삼성] DDR3 2G PC3-8500,\13050,삼성,1066 Mhz,DDR3,1개,2GB,,,,녹색,
11,삼성,,[삼성] DDR3 1G PC3-8500,\4500,삼성,1066 Mhz,DDR3,1개,1GB,,1.5V,,녹색,
12,삼성,, ,,삼성, ,,,,,,,,
13,삼성,,[삼성] DDR3 16G PC3-12800 ECC/REG LP,\86100,삼성,1600 Mhz,DDR3,1개,16GB,,,,녹색,
14,삼성,,[삼성] DDR3 4G PC3-12800 ECC,\38000,삼성,1600 Mhz,DDR3,1개,4GB,,,,녹색,
15,삼성,,[삼성] DDR3 8G PC3-12800 ECC/REG LP,\45060,삼성,1600 Mhz,DDR3,1개,8GB,,,,녹색,
16,삼성,, ,,삼성, ,,,,,,,,
17,삼성,,[삼성] DDR4 16G PC4-19200,\161200,삼성,2400 Mhz,DDR4,1개,16GB,,,,녹색,
18,삼성,,[삼성] DDR4 16G PC4-21300,\170300,삼성,2666 Mhz,DDR4,1개,16GB,,,,녹색,
19,삼성,,[삼성] DDR4 8G PC4-19200,\78500,삼성,2400 Mhz,DDR4,1개,8GB,,,,녹색,
20,삼성,,[삼성] DDR4 8G PC4-21300,\86500,삼성,2666 Mhz,DDR4,1개,8GB,,,,녹색,
21,삼성,,[삼성] DDR4 4G PC4-19200,\39100,삼성,2400 Mhz,DDR4,1개,4GB,,,,녹색,
22,삼성,, ,,삼성, ,,,,,,,,
23,삼성,,[삼성] DDR4 32G PC4-19200 ECC/REG,\383760,삼성,2400 Mhz,DDR4,1개,32GB,,,,녹색,
24,삼성,,[삼성] DDR4 16G PC4-19200 ECC/REG,\199000,삼성,2400 Mhz,DDR4,1개,16GB,,,,녹색,
25,삼성,,[삼성] DDR4 8G PC4-19200 ECC/REG,\118900,삼성,2400 Mhz,DDR4,1개,8GB,,,,녹색,
26,삼성,,[삼성] DDR4 8G PC4-19200 ECC,\220000,삼성,2400 Mhz,DDR4,1개,8GB,,,,녹색,
27,삼성,, ,,삼성, ,,,,,,,,
28,삼성,,[삼성] 노트북 DDR3 8G PC3-12800 1.35V,\79320,삼성,1600 Mhz,DDR3,1개,8GB,,1.35V,,녹색,
29,삼성,,[삼성] 노트북 DDR3 8G PC3-12800,\83210,삼성,1600 Mhz,DDR3,1개,8GB,,,,녹색,
30,삼성,,[삼성] 노트북 DDR3 4G PC3-12800 1.35V,\40750,삼성,1600 Mhz,DDR3,1개,4GB,,1.35V,,녹색,
31,삼성,,[삼성] 노트북 DDR3 4G PC3-12800,\39790,삼성,1600 Mhz,DDR3,1개,4GB,,,,녹색,
32,삼성,,[삼성] 노트북 DDR3 4G PC3-8500,\49390,삼성,1066 Mhz,DDR3,1개,4GB,,,,녹색,
33,삼성,,[삼성] 노트북 DDR3 2G PC3-12800 1.35V,\26790,삼성,1600 Mhz,DDR3,1개,2GB,,1.35V,,녹색,
34,삼성,,[삼성] 노트북 DDR3 2G PC3-12800,\19500,삼성,1600 Mhz,DDR3,1개,2GB,,,,녹색,
35,삼성,,[삼성] 노트북 DDR3 2G PC3-8500,\12870,삼성,1066 Mhz,DDR3,1개,2GB,,,,녹색,
36,삼성,,[삼성] 노트북 DDR3 1G PC3-8500,\4710,삼성,1066 Mhz,DDR3,1개,1GB,,,,녹색,
37,삼성,, ,,삼성, ,,,,,,,,
38,삼성,,[삼성] 노트북 DDR4 16G PC4-19200,\166400,삼성,2400 Mhz,DDR4,1개,16GB,,,,녹색,
39,삼성,,[삼성] 노트북 DDR4 8G PC4-19200,\81700,삼성,2400 Mhz,DDR4,1개,8GB,,,,녹색,
40,삼성,,[삼성] 노트북 DDR4 4G PC4-19200,\42400,삼성,2400 Mhz,DDR4,1개,4GB,,,,녹색,
41,,, ,,, ,,,,,,,,
42,,,-- CORSAIR --,,, ,,,,,,,,
43,,, ,,, ,,,,,,,,
