,,,SSD 제품,가격,제조사,용량,폼팩터,전송방식,저장 방식,컨트롤러,읽기 속도,쓰기 속도,TRIM,GC,S.M.A.R.T,ECC,DEVSLP,SLC 캐싱,두께,A/S,
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,
4,,,-- WD --,,,,,,,,,,,,,,,,,,
5,,, ,,,,,,,,,,,,,,,,,,
6,WD,,[WD] Blue 3D SSD 250GB,\107000,WD,250GB,2.5,SATA3,3D TLC,,560MB/s,530MB/s,O,,O,,,,7mm,3년,
7,WD,,[WD] Blue 3D SSD 500GB,\181500,WD,500GB,2.5,SATA3,3D TLC,,560MB/s,530MB/s,O,,O,,,,7mm,3년,
8,WD,,[WD] Blue 3D SSD 1TB,\370560,WD,1000GB,2.5,SATA3,3D TLC,,560MB/s,530MB/s,O,,O,,,,7mm,3년,
9,WD,,[WD] Blue 3D SSD 2TB,\1128000,WD,2000GB,2.5,SATA3,3D TLC,,560MB/s,530MB/s,O,,O,,,,7mm,3년,
10,WD,,[WD] Black M.2 2280 256GB,\136400,WD,256GB,M.2 2280,NVMe,TLC,,2050MB/s,700MB/s,O,,O,,,,2.23mm,5년,
11,WD,,[WD] Black M.2 2280 512GB,\248400,WD,512GB,M.2 2280,NVMe,TLC,,2050MB/s,700MB/s,O,,O,,,,2.23mm,5년,
12,WD,,[WD] Green M.2 2280 120GB,\63900,WD,120GB,M.2 2280,SATA3,TLC,,540MB/s,430MB/s,,O,,,,,2.23mm,3년,
13,WD,,[WD] Green M.2 2280 240GB,\97000,WD,240GB,M.2 2280,SATA3,TLC,,540MB/s,430MB/s,,O,,,,,2.23mm,3년,
14,WD,,[WD] Blue M.2 2280 250GB,\109000,WD,250GB,M.2 2280,SATA3,TLC,,540MB/s,500MB/s,,O,,,,,2.23mm,3년,
15,WD,,[WD] Blue M.2 2280 500GB,\184900,WD,500GB,M.2 2280,SATA3,TLC,,540MB/s,500MB/s,,O,,,,,2.23mm,3년,
16,WD,,[WD] Blue M.2 2280 1TB,\363300,WD,1000GB,M.2 2280,SATA3,TLC,,540MB/s,500MB/s,,O,,,,,2.23mm,3년,
17,WD,,[WD] Blue SSD 250GB,\103900,WD,250GB,2.5",SATA3,TLC,,540MB/s,500MB/s,O,,O,,,,7mm,3년,
18,WD,,[WD] Blue SSD 500GB,\177400,WD,500GB,2.5",SATA3,TLC,,540MB/s,500MB/s,O,,O,,,,7mm,3년,
19,WD,,[WD] Blue SSD 1TB,\349800,WD,1000GB,2.5",SATA3,TLC,,540MB/s,500MB/s,O,,O,,,,7mm,3년,
20,WD,,[WD] Green SSD 120GB,\56400,WD,120GB,2.5",SATA3,TLC,,540MB/s,430MB/s,O,,O,,,,7mm,3년,
21,WD,,[WD] Green SSD 240GB,\91100,WD,240GB,2.5",SATA3,TLC,,540MB/s,430MB/s,O,,O,,,,7mm,3년,
22,,, ,,,,,,,,,,,,,,,,,,
23,,,-- 마이크론 --,,,,,,,,,,,,,,,,,,
24,,, ,,,,,,,,,,,,,,,,,,
25,마이크론,,[마이크론] Crucial MX500 250GB,\81500,마이크론,250GB,2.5",SATA3,3D TLC,실리콘모션 SM2258,560MB/s,510MB/s,O,O,O,O,O,,7mm,5년,
26,마이크론,,[마이크론] Crucial MX500 500GB,\140300,마이크론,500GB,2.5",SATA3,3D TLC,실리콘모션 SM2258,560MB/s,510MB/s,O,O,O,O,O,,7mm,5년,
27,마이크론,,[마이크론] Crucial MX500 1TB,\302900,마이크론,1000GB,2.5",SATA3,3D TLC,실리콘모션 SM2258,560MB/s,510MB/s,O,O,O,O,O,,7mm,5년,
28,마이크론,,[마이크론] Crucial MX500 2TB,\619500,마이크론,2000GB,2.5",SATA3,3D TLC,실리콘모션 SM2258,560MB/s,510MB/s,O,O,O,O,O,,7mm,5년,
29,마이크론,,[마이크론] Crucial MX500 250GB M.2 2280,\83200,마이크론,250GB,M.2 2280,SATA3,3D TLC,실리콘모션 SM2258,560MB/s,510MB/s,O,O,O,O,O,,2.25mm,5년,
30,마이크론,,[마이크론] Crucial MX500 500GB M.2 2280,\155000,마이크론,500GB,M.2 2280,SATA3,3D TLC,실리콘모션 SM2258,560MB/s,510MB/s,O,O,O,O,O,,2.25mm,,
31,마이크론,,[마이크론] Crucial MX500 1TB M.2 2280,\322800,마이크론,1000GB,M.2 2280,SATA3,3D TLC,실리콘모션 SM2258,560MB/s,510MB/s,O,O,O,O,O,,2.25mm,,
32,마이크론,,[마이크론] Crucial MX300 275GB,\89900,마이크론,275GB,2.5",SATA3,3D TLC,마벨 88SS1074,530MB/s,510MB/s,O,O,O,O,O,,7mm,3년,
