,,,System Cooler,가격,제조사,팬 크기,두께,베어링,커넥터 핀,최소 회전,최대 회전,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,날개 색,본체 색,LED 색,발광 부분,보증 기간
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,,
4,,,-- 140mm --,,,,,,,,,,,,,,,,,,,
5,,, ,,,,,,,,,,,,,,,,,,,
6,140,,[ARCTIC] BioniX F140,\24960,ARCTIC,140mm,28T,FDB,4핀,200rpm,1800rpm,,104CFM,,,,27dBA,검정,검정,,,10년
7,140,,[ARCTIC] F14 SILENT,\14000,ARCTIC,140mm,25T,FDB,3핀,,800rpm,,46CFM,,,,0.08Sone,흰색,검정,,,6년
8,140,,[ARCTIC] F14 PWM PST CO,\16000,ARCTIC,140mm,27T,2볼,4핀,0rpm,1350rpm,,74CFM,,,,0.3Sone,회색,회색,,,6년
9,140,,[ARCTIC] F14 PWM,\14640,ARCTIC,140mm,25T,FDB,4핀,0rpm,1350rpm,,74CFM,,,,0.3Sone,흰색,검정,,,6년
10,140,,[ARCTIC] F14,\13600,ARCTIC,140mm,25T,유체,3핀,,1350rpm,,74CFM,,,,0.3Sone,흰색,검정,,,6년
11,140,, ,,,140mm,,,,,,,,,,,,,,,,
12,140,,[be quiet] PURE WINGS 2 140mm PWM,\19800,be quiet,140mm,25T,Rifle,4핀,,1000rpm,,61.2CFM,,0.76mmH2O,,19.8dBA,검정,검정,,,3년
13,140,,[be quiet] SILENT WINGS 3 140mm PWM HIGH-SPEED,\44500,be quiet,140mm,25T,FDB,4핀,,1600rpm,,77.57CFM,,2.16mmH2O,,28.1dBA,검정,검정,,,3년
14,140,,[be quiet] SILENT WINGS 3 140mm HIGH-SPEED,\43500,be quiet,140mm,25T,FDB,3핀,,1600rpm,,77.57CFM,,2.16mmH2O,,28.1dBA,검정,검정,,,3년
15,140,,[be quiet] SILENT WINGS 3 140mm PWM,\44500,be quiet,140mm,25T,FDB,4핀,,1000rpm,,59.5CFM,,1.08mmH2O,,15.5dBA,검정,검정,,,3년
16,140,,[be quiet] SILENT WINGS 3 140mm,\43500,be quiet,140mm,25T,FDB,3핀,,1000rpm,,59.5CFM,,1.08mmH2O,,15.5dBA,검정,검정,,,3년
17,140,, ,,,140mm,,,,,,,,,,,,,,,,
18,140,,[CORSAIR] ML140 PRO RGB (2PACK/Controller),\126400,CORSAIR,140mm,25T,Magnetic,4핀,400rpm,1200rpm,,55.4CFM,,1.27mmH2O,,20.4dBA,흰색,검정,RGB (Cont),팬,5년
19,140,,[CORSAIR] ML140 PRO RGB (1PACK),\53880,CORSAIR,140mm,25T,Magnetic,4핀,400rpm,1200rpm,,55.4CFM,,1.27mmH2O,,20.4dBA,흰색,검정,RGB (Cont),팬,5년
20,140,,[CORSAIR] LL140 (2PACK/Controller),\-,CORSAIR,140mm,25T,Hydraulic,4핀,600rpm,1300rpm,,51.5CFM,,1.52mmH2O,,25dBA,흰색,검정,RGB (Cont),팬/링,2년
21,140,,[CORSAIR] LL140 (1PACK),\-,CORSAIR,140mm,25T,Hydraulic,4핀,600rpm,1300rpm,,51.5CFM,,1.52mmH2O,,25dBA,흰색,검정,RGB (Cont),팬/링,2년
22,140,,[CORSAIR] HD140 (2PACK/Controller),\102270,CORSAIR,140mm,25T,유체,4핀,600rpm,1350rpm,,74CFM,,1.85mmH2O,18dBA,28.6dBA,흰색,검정,RGB (Cont),팬,2년
23,140,,[CORSAIR] HD140 (1PACK),\44420,CORSAIR,140mm,25T,유체,4핀,600rpm,1350rpm,,74CFM,,1.85mmH2O,18dBA,28.6dBA,흰색,검정,RGB (Cont),팬,2년
24,140,,[CORSAIR] ML140 PRO LED White,\54730,CORSAIR,140mm,25T,Magnetic,4핀,400rpm,2000rpm,20CFM,97CFM,0.2mmH2O,3mmH2O,16dBA,37dBA,투명,검정,흰색,팬,5년
25,140,,[CORSAIR] ML140 PRO LED Blue,\-,CORSAIR,140mm,25T,Magnetic,4핀,400rpm,2000rpm,20CFM,97CFM,0.2mmH2O,3mmH2O,16dBA,37dBA,투명,검정,파랑,팬,5년
26,140,,[CORSAIR] ML140 PRO LED Red,\54730,CORSAIR,140mm,25T,Magnetic,4핀,400rpm,2000rpm,20CFM,97CFM,0.2mmH2O,3mmH2O,16dBA,37dBA,투명,검정,빨강,팬,5년
27,140,,[CORSAIR] SP140 LED 퍼플,\18020,CORSAIR,140mm,25T,슬리브,3핀,,1440rpm,,49.49CFM,,1.17mmH2O,,29.3dBA,투명,검정,보라,팬,
28,140,, ,,,140mm,,,,,,,,,,,,,,,,
