,,,CPU 품목,가격,제품군,제조사,코어 수,쓰레드 수,동작속도,터보속도,L3캐시,내장 그래픽,GPU속도,"최대 지원
메모리",TDP,소켓,정품,"기본쿨러포함",모델
1,,,-- [Intel] 셀러론 --,,,,,,,,,,,,,,,,
2,,, ,,,,,,,,,,,,,,,,
3,LGA 1150,,[Intel] 셀러론 G1840 (하스웰 리프레시) (벌크 + 쿨러),\55000,Celeron,Intel,2개,2개,2.8 Ghz,지원 안함 ,2MB,HD (Haswell),1050Mhz,1333Mhz,53W,LGA 1150,X,O,G1840
4,LGA 1150,,[Intel] 셀러론 G1850 (하스웰 리프레시) (벌크 + 쿨러),\76000,Celeron,Intel,2개,2개,2.9 Ghz,지원 안함 ,2MB,HD (Haswell),1050Mhz,1333Mhz,53W,LGA 1150,X,O,G1850
5,0,, ,,,,,,,,,,,,,,,,
6,LGA 1151,,[Intel] 셀러론 G3900 (스카이레이크),\41500,Celeron,Intel,2개,2개,2.8 Ghz,지원 안함 ,2MB,HD 510,950Mhz,2133Mhz,51W,LGA 1151,O,O,G3900
7,LGA 1151,,[Intel] 셀러론 G3920 (스카이레이크),\47150,Celeron,Intel,2개,2개,2.9 GHz,지원 안함 ,2MB,HD 510,950Mhz,2133Mhz,51W,LGA 1151,O,O,G3920
8,0,, ,,,,,,,,,,,,,,,,
9,LGA 1151,,[Intel] 셀러론 G3930 (카비레이크),\37900,Celeron,Intel,2개,2개,2.9 Ghz,지원 안함 ,2MB,HD 610,1050Mhz,2400Mhz,51W,LGA 1151,O,O,G3930
10,LGA 1151,,[Intel] 셀러론 G3950 (카비레이크),\70960,Celeron,Intel,2개,2개,3 GHz,지원 안함 ,2MB,HD 610,1050Mhz,2400Mhz,51W,LGA 1151,O,O,G3950
11,0,, ,,,,,,, ,,,,,,,,,
12,LGA 1151v2,,[Intel] 셀러론 G4900 (커피레이크),\44900,Celeron,Intel,2개,2개,3.1 GHz,지원 안함 ,2MB,UHD 610,1050Mhz,2400Mhz,54W,LGA 1151v2,O,O,G4900
13,LGA 1151v2,,[Intel] 셀러론 G4920 (커피레이크),\55100,Celeron,Intel,2개,2개,3.2 GHz,지원 안함 ,2MB,UHD 610,1050Mhz,2400Mhz,54W,LGA 1151v2,O,O,G4920
14,,, ,,,,,,,,,,,,,,,,
15,,,-- [Intel] 펜티엄 --,,,,,,,,,,,,,,,,
16,,, ,,,,,,,,,,,,,,,,
17,LGA 1150,,[Intel] 펜티엄 G3240 (하스웰 리프레시) (벌크),\76000,Pentium,Intel,2개,2개,3.1 GHz,지원 안함 ,3MB,HD (Haswell),1100Mhz,1333Mhz,53W,LGA 1150,X,X,G3240
18,LGA 1150,,[Intel] 펜티엄 G3250 (하스웰 리프레시),\78660,Pentium,Intel,2개,2개,3.2 GHz,지원 안함 ,3MB,HD (Haswell),1100Mhz,1333Mhz,53W,LGA 1150,O,O,G3250
19,LGA 1150,,[Intel] 펜티엄 G3258 (하스웰) (벌크 + 쿨러),\93000,Pentium,Intel,2개,2개,3.2 GHz,지원 안함 ,3MB,HD (Haswell),1100Mhz,1333Mhz,53W,LGA 1150,X,O,G3258
20,LGA 1150,,[Intel] 펜티엄 G3260 (하스웰 리프레시),\76400,Pentium,Intel,2개,2개,3.3 Ghz,지원 안함 ,3MB,HD (Haswell),1100Mhz,1333Mhz,53W,LGA 1150,O,O,G3260
21,LGA 1150,,[Intel] 펜티엄 G3450 (하스웰 리프레시),\158230,Pentium,Intel,2개,2개,3.4 GHz,지원 안함 ,3MB,HD (Haswell),1100Mhz,1600Mhz,53W,LGA 1150,O,O,G3450
22,LGA 1150,,[Intel] 펜티엄 G3460 (하스웰 리프레시) (벌크),\200420,Pentium,Intel,2개,2개,3.5 GHz,지원 안함 ,3MB,HD (Haswell),1100Mhz,1600Mhz,53W,LGA 1150,X,X,G3460
