,,,CPU Cooler,가격,제조사,쿨러 종류,권장 케이스 폭,쿨러 높이,팬 커넥터,펌프 커넥터,팬 크기,팬 개수,팬 굵기,베어링,최소 회전속도,최대 회전속도,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,최소 펌프속도,최대 펌프속도,최소 펌프소음,최대 펌프소음,LGA 2066,LGA 1151,LGA 2011-v3,LGA 115x,LGA 2011,TR4,SP3,AM4,AMx/FMx,팬 색깔,(워터블록 색),본체 색깔,LED 색,발광부분,(워터블록 LED),보증 기간
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,== 공랭 쿨러 ==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,-- 타워형 공랭 쿨러 --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,타워형 공랭,,[Antec] C400 BLUE LED,\43320,Antec,타워형 공랭,,155mm,4핀,,120mm,1개,25T,Rifle,800rpm,1900rpm,,77CFM,,,20.3dBA,34.5dBA,,,,,,O,O,O,O,,,O,O,투명,,검정,파랑,팬,,3년
9,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,타워형 공랭,,[ARCTIC] FREEZER 33 eSPORTS EDITION RED,\69000,ARCTIC,타워형 공랭,180mm,150mm,4핀,,120mm,2개,26T,FDB,200rpm,1800rpm,,69CFM,,,,26dBA,,,,,O,O,O,O,O,,,O,,검정,,검정,,,,
11,타워형 공랭,,[ARCTIC] FREEZER TR,\65000,ARCTIC,타워형 공랭,180mm,155mm,4핀,,120mm,1개,26T,FDB,200rpm,1800rpm,,69CFM,,,,26dBA,,,,,O,,O,,O,O,,O,,검정,,검정,,,,
12,타워형 공랭,,[ARCTIC] Freezer i32 CO,\58000,ARCTIC,타워형 공랭,,150mm,4핀,,120mm,1개,25T,2볼,0rpm,1350rpm,,,,,,24.5dBA,,,,,,O,O,O,O,,,,,검정,,은색,,,,6년
13,타워형 공랭,,[ARCTIC] Freezer i32,\50000,ARCTIC,타워형 공랭,,150mm,4핀,,120mm,1개,25T,유체,0rpm,1350rpm,,,,,,24.5dBA,,,,,,O,O,O,O,,,,,흰색,,은색,,,,6년
14,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,타워형 공랭,,[be quiet] Shadow Rock Slim 라이젠,\69000,be quiet,타워형 공랭,180mm,161mm,4핀,,135mm,1개,22T,Rifle,,1400rpm,,67.8CFM,,2.1mmH2O,,23.7dBA,,,,,O,O,O,O,O,,,O,O,검정,,은색,,,,3년
16,타워형 공랭,,[be quiet] Shadow Rock 2 라이젠,\67000,be quiet,타워형 공랭,180mm,160mm,4핀,,120mm,1개,25T,Rifle,,1600rpm,,87CFM,,1.4mmH2O,,25.4dBA,,,,,O,,O,O,O,,,O,O,검정,,은색,,,,3년
17,타워형 공랭,,[be quiet] DARK ROCK Pro 3 라이젠,\135000,be quiet,타워형 공랭,180mm,163mm,4핀,,135mm,2개,22T,FDB,,1400rpm,,67.8CFM,,2.1mmH2O,,26.1dBA,,,,,O,,O,O,O,,,O,O,검정,,검정,,,,3년
18,타워형 공랭,,[be quiet] DARK ROCK 3 라이젠,\-,be quiet,타워형 공랭,180mm,160mm,4핀,,135mm,1개,22T,FDB,,1400rpm,,67.8CFM,,2.1mmH2O,,21.1dBA,,,,,O,,O,O,O,,,O,O,검정,,검정,,,,3년
19,타워형 공랭,,[be quiet] Pure Rock,\52700,be quiet,타워형 공랭,,155mm,4핀,,120mm,1개,25T,Rifle,,1500rpm,,87CFM,,1.25mmH2O,,26.8dBA,,,,,,,O,O,O,,,,O,검정,,검정,,,,3년
20,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,타워형 공랭,,[BRAVOTEC] JONSBO CR-401 RGB 아우라 싱크,\-,BRAVOTEC,타워형 공랭,180mm,161mm,4핀,,120mm,1개,25T,Hydraulic,800rpm,1600rpm,20.5CFM,38.5CFM,,,,25dBA,,,,,,O,,O,,,,O,O,투명,,검정,RGB (MB),본체,,1년
22,타워형 공랭,,[BRAVOTEC] JONSBO CR-601 RED,\28900,BRAVOTEC,타워형 공랭,180mm,158mm,4핀,,120mm,1개,25T,Hydraulic,800rpm,1500rpm,20.5CFM,38.5CFM,,,,24dBA,,,,,,O,,O,,,,O,O,투명,,검정,빨강,팬/본체,,1년
