,,,제품,단가,제조사,모델,코어클럭,부스트,팬 개수,메모리클럭,길이,8핀,6핀,TDP,정격파워 권장,D-Sub,DVI,m-HDMI,HDMI,m-DP,DP
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,
4,0,,== NVIDIA ==,,,,,,,,,,,,,,,,,,
5,0,, ,,,,,,,,,,,,,,,,,,
6,,,-- GTX Titan Xp --,,,,,,,,,,,,,,,,,,
7,,, ,,,,,,,,,,,,,,,,,,
8,GTX Titan Xp,,[NVIDIA] 지포스 GTX Titan Xp D5X 12GB,\1650000,NVIDIA,GTX Titan Xp,1405 MHz,1582 MHz,1,11400 MHz,267mm,1,1,250W,600W,,0,,1,,3
9,,, ,,,,,,,,,,,,,,,,,,
10,,,-- GTX 1080 Ti --,,,,,,,,,,,,,,,,,,
11,,, ,,,,,,,,,,,,,,,,,,
12,GTX 1080 Ti,,[ASUS] ROG POSEIDON 지포스 GTX1080 Ti P11G D5X 11GB,\1652820,ASUS,GTX 1080 Ti,1594 MHz,1708 MHz,2,11010 MHz,298mm,2,,,,,1,,2,,2
13,GTX 1080 Ti,,[ASUS] ROG STRIX 지포스 GTX1080 Ti GAMING D5X 11GB,\1151300,ASUS,GTX 1080 Ti,1518 MHz,1632 MHz,3,10010 MHz,298mm,2,,,,,1,,2,,2
14,GTX 1080 Ti,,[ASUS] ROG STRIX 지포스 GTX1080 Ti O11G GAMING D5X 11GB,\1169200,ASUS,GTX 1080 Ti,1594 MHz,1708 MHz,3,11100 MHz,298mm,2,,,,,1,,2,,2
15,GTX 1080 Ti,,[Colorful] iGame 지포스 GTX1080 Ti VULCAN AD D5X 11GB,\980000,Colorful,GTX 1080 Ti,1569 MHz,1683 MHz,3,11000 MHz,315mm,2,,250W,,,1,,1,,3
16,GTX 1080 Ti,,[EVGA] 지포스 GTX1080 Ti FTW3 GAMING D5X 11GB,\1169000,EVGA,GTX 1080 Ti,1569 MHz,1683 MHz,3,11000 MHz,299.72mm,2,,280W,600W,,,,1,,3
17,GTX 1080 Ti,,[EVGA] 지포스 GTX1080 Ti SC Black Edition GAMING D5X 11GB,\1139000,EVGA,GTX 1080 Ti,1556 MHz,1670 MHz,2,11016 MHz,269.2mm,1,1,250W,600W,,1,,1,,3
18,GTX 1080 Ti,,[GAINWARD] 지포스 GTX1080 Ti 피닉스 D5X 11GB,\1019000,GAINWARD,GTX 1080 Ti,1480 MHz,1582 MHz,2,11000 MHz,285mm,2,,,,,1,,1,,3
19,GTX 1080 Ti,,[GAINWARD] 지포스 GTX1080 Ti 피닉스 GS D5X 11GB,\997000,GAINWAD,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,,,250W,600W,,,,,,
20,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti AORUS D5X 11GB,\1175200,GIGABYTE,GTX 1080 Ti,1569 MHz,1683 MHz,3,11010 MHz,293mm,2,,,600W,,1,,3,,3
21,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB,\1232500,GIGABYTE,GTX 1080 Ti,1607 MHz,1721 MHz,3,11232 MHz,293mm,2,,,600W,,1,,3,,3
22,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB 워터블럭,\1201000,GIGABYTE,GTX 1080 Ti,1607 MHz,1721 MHz,,11232 MHz,267mm,2,,,600W,,1,,3,,3
23,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB 워터포스,\1479000,GIGABYTE,GTX 1080 Ti,1607 MHz,1721 MHz,1,11232 MHz,267mm,2,,,600W,,1,,3,,3
24,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti Founders Edition D5X 11GB,\-,GIGABYTE,GTX 1080 Ti,1480 MHz,1582 MHz,1,11000 MHz,266.7mm,1,1,250W,600W,,,,1,,3
25,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti Gaming D5X 11GB,\1115400,GIGABYTE,GTX 1080 Ti,1518 MHz,1632 MHz,3,11010 MHz,280mm,1,1,,600W,,1,,1,,3
26,GTX 1080 Ti,,[inno3D] iChiLL 지포스 GTX1080 Ti D5X 11GB X3,\975400,inno3D,GTX 1080 Ti,1569 MHz,1683 MHz,3,11400 MHz,302.2mm,1,1,280W,600W,,1,,1,,3
27,GTX 1080 Ti,,[inno3D] iChiLL 지포스 GTX1080 Ti D5X 11GB X4,\982300,inno3D,GTX 1080 Ti,1569 MHz,1683 MHz,4,11400 MHz,302.2mm,1,1,280W,600W,,1,,1,,3
