,,,메인보드 품목,단가,제조사,소켓,세부 칩셋,폼팩터,길이,폭,DDR,메모리 슬롯,램 클럭 지원,SLI,CF,DVI,D-Sub,HDMI 2.0,HDMI,DP,USB C 3.1,USB C 3.0,USB 3.1,USB 3.0,USB 2.0,"SATA
3","SATA
2",M.2,SATAe,U.2,LAN,WiFi,Bluetooth,색상,RGB Sync
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,=< Intel >=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,== 커피레이크 ==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-- [커피레이크] H310 --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LGA 1151v2,,[ASRock] H310M-DGS,\73270,ASRock,LGA 1151v2,H310,m-ATX,19.1,18.8,DDR4,2 개,2666Mhz,,,O,,,,,,,,2,4,4,,,,,Realtek RTL8111H,,,,
11,LGA 1151v2,,[ASRock] H310M-HDV,\75870,ASRock,LGA 1151v2,H310,m-ATX,19.1,18.8,DDR4,2 개,2666Mhz,,,O,O,,O,,,,,2,4,4,,,,,Realtek RTL8111H,,,,
12,LGA 1151v2,,[ASRock] H310M-HDV/M.2,\78400,ASRock,LGA 1151v2,H310,m-ATX,19.1,18.8,DDR4,2 개,2666Mhz,,,O,O,,O,,,,,2,4,4,,1,,,Realtek RTL8111H,,,,
13,LGA 1151v2,,[ASRock] H310M-ITX/ac,\122200,ASRock,LGA 1151v2,H310,m-ITX,17,17,DDR4,2 개,,,,O,,,O,O,,,,2,2,4,,1,,,,O,O,,
14,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LGA 1151v2,,[ASUS] PRIME H310-PLUS,\108560,ASUS,LGA 1151v2,H310,ATX,30.5,19.1,DDR4,2 개,2666Mhz,,,,O,,O,,,,,2,2,4,,1,,,Realtek RTL8111H,,,,
16,LGA 1151v2,,[ASUS] PRIME H310I-PLUS,\107000,ASUS,LGA 1151v2,H310,m-ITX,17,17,DDR4,2 개,2666Mhz,,,O,O,,O,,,,,2,2,4,,1,,,Realtek RTL8111H,,,,
17,LGA 1151v2,,[ASUS] PRIME H310M-A,\85700,ASUS,LGA 1151v2,H310,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,O,O,,O,,,,,2,2,4,,1,,,Realtek RTL8111H,,,,
18,LGA 1151v2,,[ASUS] PRIME H310M-D,\93430,ASUS,LGA 1151v2,H310,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,,O,,O,,,,,2,2,4,,1,,,Realtek RTL8111H,,,,
19,LGA 1151v2,,[ASUS] PRIME H310M-E,\91400,ASUS,LGA 1151v2,H310,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,,O,,O,,,,,2,2,4,,1,,,Realtek RTL8111H,,,,
20,LGA 1151v2,,[ASUS] PRIME H310M-K,\82400,ASUS,LGA 1151v2,H310,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,O,O,,,,,,,2,2,4,,,,,Realtek RTL8111H,,,,
21,LGA 1151v2,,[ASUS] TUF H310-PLUS GAMING,\116840,ASUS,LGA 1151v2,H310,ATX,30.5,20.1,DDR4,2 개,2666Mhz,,,,O,,O,,,,,2,2,4,,1,,,Intel I219V,,,,
22,LGA 1151v2,,[ASUS] TUF H310M-PLUS GAMING,\90070,ASUS,LGA 1151v2,H310,m-ATX,22.6,20.8,DDR4,2 개,2666Mhz,,,O,,,O,,,,,2,4,4,,1,,,Intel I219V,,,,
23,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,LGA 1151v2,,[BIOSTAR] H310MHD PRO,\72800,BIOSTAR,LGA 1151v2,H310,m-ATX,22.8,17.7,DDR4,2 개,2666Mhz,,,O,O,,O,,,,,2,4,4,,,,,Realtek RTL8111H,,,,
25,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LGA 1151v2,,[GIGABYTE] H310 D3 듀러블에디션,\94000,GIGABYTE,LGA 1151v2,H310,ATX,30.5,24.4,DDR4,2 개,2666Mhz,,,,O,,O,,,,,2,4,4,,1,,,Realtek RTL8111H,,,,
27,LGA 1151v2,,[GIGABYTE] H310M A 듀러블에디션,\80810,GIGABYTE,LGA 1151v2,H310,m-ATX,22.6,18.5,DDR4,2 개,2666Mhz,,,,,,O,O,,,,2,4,4,,1,,,Intel I219V,,,,
